Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2024-04-09 21:51:54,FSL,2024-04-13,10:50,0,13,5,Win,4,9,26,7,19,154,13,11,3,6,15,0,0
2024-04-14 13:36:48,Crazy Dogs,2024-04-14,13:36,0,7,11,Loss,6,1,22,17,5,79,15,13,5,5,6,0,0
2024-04-09 21:57:40,Flying Colors,2024-04-13,13:20,0,7,10,Loss,6,1,17,13,4,122,10,9,1,2,4,0,0
2024-04-09 21:58:14,Panthers,2024-04-13,14:10,0,3,12,Loss,3,0,17,17,0,154,14,14,1,3,2,0,0
2024-04-13 16:46:21,FlyHigh,2024-04-13,17:00,0,10,6,Win,4,6,18,10,8,92,8,7,3,12,0,0,0
2024-04-14 12:02:47,Bergamo,2024-04-14,12:02,0,9,8,Win,6,3,16,9,7,113,7,5,3,6,3,0,0
2024-04-14 12:52:12,FlyHigh,2024-04-14,12:52,0,8,4,Win,3,5,20,5,15,100,12,12,2,7,9,0,0
2024-04-14 11:10:04,Spaccamadoni,2024-04-14,11:10,0,10,9,Win,8,2,13,11,2,138,3,3,0,3,1,0,0
2024-04-09 21:55:33,Wizdom,2024-04-13,10:00,0,9,4,Win,4,5,20,10,10,167,11,8,6,11,5,0,0
2024-04-14 10:13:01,FAB 2,2024-04-14,10:20,0,5,8,Loss,5,0,14,11,3,106,9,5,5,0,6,0,0
2024-04-14 09:13:40,Wizdom,2024-04-14,09:30,0,12,2,Win,2,10,19,2,17,130,7,4,3,13,4,0,0
2024-04-13 16:29:25,Crazy dogs,2024-04-13,17:00,0,5,12,Loss,5,0,18,15,3,83,13,11,5,0,6,0,0
2024-04-09 21:58:37,Discobolo,2024-04-13,15:00,0,4,12,Loss,3,1,13,13,0,97,10,9,1,1,2,0,0
2024-04-09 21:56:42,Mucche al Pascolo,2024-04-13,11:40,0,7,10,Loss,4,3,18,10,8,188,11,10,1,5,4,0,0